split,seed,model,baseline,average_precision_delta,roc_auc_delta,precision_at_20_delta,brier_score_delta
random,101,count_r2,kernel_r2,0.008333333333333304,0.005376344086021501,0.04999999999999993,0.0018135388208826014
random,101,count_multiscale,kernel_multiscale,-0.011907768157768173,0.0038402457757296116,0.0,0.0024461513941911196
random,101,count_fusion_forest,kernel_fusion_forest,-4.6685340802987696e-05,0.0011520737327188613,0.0,0.000991753041165687
random,101,count_chemprop_forest,kernel_chemprop_forest,0.0016756635177685997,0.0026881720430108613,0.0,0.0010808227124109726
random,202,count_r2,kernel_r2,0.06273908977494191,0.021121351766513086,0.10000000000000003,-0.001385795183491717
random,202,count_multiscale,kernel_multiscale,0.04985916814212055,0.014976958525345752,0.10000000000000003,-0.0012790676854597463
random,202,count_fusion_forest,kernel_fusion_forest,0.016665170389586814,-0.0026881720430107503,0.04999999999999999,-0.0003569803092648635
random,202,count_chemprop_forest,kernel_chemprop_forest,0.012709535625510138,0.001536098310291778,0.0,-0.0003979210359138473
random,303,count_r2,kernel_r2,-0.0003988961220322551,0.049923195084485394,0.0,0.003508004749991026
random,303,count_multiscale,kernel_multiscale,-0.06505065915254993,0.005376344086021612,-0.09999999999999998,0.006548574476362017
random,303,count_fusion_forest,kernel_fusion_forest,-0.02691708114933733,-0.005376344086021612,0.0,0.0024545297448060437
random,303,count_chemprop_forest,kernel_chemprop_forest,-0.0064083455931497335,-0.001536098310292,0.0,0.0021330257275246657
random,404,count_r2,kernel_r2,-0.03253155566135102,-0.06566820276497687,-0.04999999999999999,-0.005203276499618551
random,404,count_multiscale,kernel_multiscale,-0.028786547070538404,-0.05760368663594473,-0.09999999999999998,-0.004391394110838373
random,404,count_fusion_forest,kernel_fusion_forest,0.008968411658285103,-0.010368663594470084,0.04999999999999999,-0.0014195316303119952
random,404,count_chemprop_forest,kernel_chemprop_forest,-0.009688650297280499,-0.015360983102918557,0.0,-0.001245360513077439
random,505,count_r2,kernel_r2,-0.057915556443568605,-0.004224270353302528,-0.04999999999999999,0.006821104435223498
random,505,count_multiscale,kernel_multiscale,-0.015325379517340587,-0.00691244239631339,-0.04999999999999999,0.0030179787346315545
random,505,count_fusion_forest,kernel_fusion_forest,0.00019233393689910283,0.0007680491551459445,0.0,0.0002731736200693863
random,505,count_chemprop_forest,kernel_chemprop_forest,-0.014690578717296399,0.0019201228878648058,0.0,0.00041420481042602625
scaffold,101,count_r2,kernel_r2,-0.06627909127909137,-0.017281105990783474,-0.09999999999999998,-0.0010060761887709622
scaffold,101,count_multiscale,kernel_multiscale,-0.04841605154105166,-0.005760368663594417,-0.04999999999999993,-0.0001808919908276689
scaffold,101,count_fusion_forest,kernel_fusion_forest,-0.0033208609988795157,-0.0019201228878649168,0.0,0.0002031993730371856
scaffold,101,count_chemprop_forest,kernel_chemprop_forest,0.00326411333764276,-0.001536098310291778,0.0,0.0002992109602040112
scaffold,202,count_r2,kernel_r2,0.03454831393143565,-0.011904761904761862,0.04999999999999999,-0.013661008217707785
scaffold,202,count_multiscale,kernel_multiscale,0.025992006595279227,-0.004608294930875667,0.04999999999999999,-0.01519897534003533
scaffold,202,count_fusion_forest,kernel_fusion_forest,0.0026826040609563284,-0.00691244239631339,0.0,-0.004016669495897941
scaffold,202,count_chemprop_forest,kernel_chemprop_forest,-0.002754014480443323,-0.011904761904761973,0.0,-0.0024185333843351614
scaffold,303,count_r2,kernel_r2,0.014535310621754172,-0.015360983102918557,0.0,-0.0020723383661843345
scaffold,303,count_multiscale,kernel_multiscale,0.006381765518013172,-0.031105990783410142,0.0,-0.0024231283557509045
scaffold,303,count_fusion_forest,kernel_fusion_forest,0.0038811805116152343,-0.008832565284178195,0.0,-0.0009985696914746184
scaffold,303,count_chemprop_forest,kernel_chemprop_forest,0.007516786497607231,-0.007680491551459334,0.0,-0.0007651599604610732
scaffold,404,count_r2,kernel_r2,0.0071777842401354874,0.029569892473118142,-0.04999999999999999,-0.001928176939523095
scaffold,404,count_multiscale,kernel_multiscale,0.07578802619125191,0.034946236559139754,-0.04999999999999999,-0.0016643959758084817
scaffold,404,count_fusion_forest,kernel_fusion_forest,0.01923205096654712,-0.0007680491551458335,0.0,-0.0011653379991228875
scaffold,404,count_chemprop_forest,kernel_chemprop_forest,0.0010803779712456052,0.0026881720430106393,0.0,-0.00020146540502979926
scaffold,505,count_r2,kernel_r2,0.016595578565514635,-0.06912442396313379,-0.04999999999999999,-0.001974960397075419
scaffold,505,count_multiscale,kernel_multiscale,0.045739390993604745,-0.08640552995391704,0.04999999999999999,-0.002724920106704054
scaffold,505,count_fusion_forest,kernel_fusion_forest,0.001379449557060708,-0.0026881720430107503,0.0,-0.0008081455555117509
scaffold,505,count_chemprop_forest,kernel_chemprop_forest,0.022739683723460358,0.0038402457757296116,0.0,-0.0008586215309300815
