split,seed,model,baseline,average_precision_delta,roc_auc_delta,precision_at_20_delta,brier_score_delta
random,101,fusion_30,compact,0.24966434462874953,0.11866359447004593,0.04999999999999999,-0.008691700914970998
random,101,fusion_60,compact,0.3534689618805742,0.2000768049155145,0.2,-0.0173308858431378
random,101,selected_blend,compact,0.3534689618805742,0.2000768049155145,0.2,-0.0173308860546518
random,101,fusion_30,chemprop,-0.20882589236301685,-0.0837173579109064,-0.10000000000000003,0.011573390788018102
random,101,fusion_60,chemprop,-0.10502127511119219,-0.0023041474654378336,0.04999999999999999,0.0029342058598513
random,101,selected_blend,chemprop,-0.10502127511119219,-0.0023041474654378336,0.04999999999999999,0.0029342056483372993
random,101,selected_blend,forest,-0.18416999674094314,-0.02400153609831024,-0.050000000000000044,0.0092677154912367
random,101,fusion_30,descriptor_mlp,0.023407182165259388,-0.009216589861751223,0.0,-0.0001058849466662945
random,202,fusion_30,compact,0.18323037027727992,0.1624423963133641,0.0,-0.006875222988861604
random,202,fusion_60,compact,0.3305462350615339,0.20775729646697405,0.15000000000000002,-0.011900761481341907
random,202,selected_blend,compact,0.3305462350615339,0.20775729646697405,0.15000000000000002,-0.011900761823172706
random,202,fusion_30,chemprop,-0.15326876933210742,0.011904761904761862,-0.15000000000000002,0.008407411991415398
random,202,fusion_60,chemprop,-0.005952904547853466,0.05721966205837181,0.0,0.003381873498935095
random,202,selected_blend,chemprop,-0.005952904547853466,0.05721966205837181,0.0,0.0033818731571042954
random,202,selected_blend,forest,0.04624918884657281,-0.02131336405529949,0.10000000000000003,0.0007849731755789
random,202,fusion_30,descriptor_mlp,-0.028503817467231962,-0.0572196620583717,0.0,0.0015570719189652027
random,303,fusion_30,compact,0.32487538913070924,0.12826420890937007,0.09999999999999998,-0.009203764218962504
random,303,fusion_60,compact,0.45043922187297003,0.2327188940092163,0.25,-0.0141957602629494
random,303,selected_blend,compact,0.5304804680814776,0.16743471582181246,0.15000000000000002,-0.0229686989399367
random,303,fusion_30,chemprop,-0.22693608215176397,-0.11136712749615985,-0.15000000000000002,0.012358877601925396
random,303,fusion_60,chemprop,-0.10137224940950318,-0.006912442396313612,0.0,0.0073668815579385
random,303,selected_blend,chemprop,-0.02133100320099557,-0.07219662058371745,-0.09999999999999998,-0.0014060571190488008
random,303,selected_blend,forest,0.0,0.0,0.0,0.0
random,303,fusion_30,descriptor_mlp,-0.03441554928196622,-0.044546850998464005,0.04999999999999999,0.00339127434382
random,404,fusion_30,compact,0.22674467244444524,0.030337941628264087,-0.04999999999999999,-0.0099588774568578
random,404,fusion_60,compact,0.35127337195154335,0.07258064516129015,-0.04999999999999999,-0.0198217120282688
random,404,selected_blend,compact,0.2371265017266035,0.021697388632872516,-0.09999999999999998,-0.0159777211394967
random,404,fusion_30,chemprop,-0.043648291788455085,0.0011520737327187502,0.0,0.0071691069944201
random,404,fusion_60,chemprop,0.08088040771864302,0.04339477726574481,0.0,-0.0026937275769908994
random,404,selected_blend,chemprop,-0.033266462506296834,-0.00748847926267282,-0.04999999999999999,0.0011502633117812001
random,404,selected_blend,forest,0.0,0.0,0.0,0.0
random,404,fusion_30,descriptor_mlp,0.11533511239618766,0.0,0.04999999999999999,-0.0003239300219545979
random,505,fusion_30,compact,0.24186479478699574,0.09523809523809534,0.050000000000000044,-0.009129641632112204
random,505,fusion_60,compact,0.45213222597787117,0.1351766513056838,0.10000000000000003,-0.0188633192005483
random,505,selected_blend,compact,0.49325696526236074,0.16359447004608296,0.10000000000000003,-0.0214570492873177
random,505,fusion_30,chemprop,-0.20422998951238835,-0.019585253456221308,-0.04999999999999999,0.013060569306078799
random,505,fusion_60,chemprop,0.006037441678487077,0.02035330261136714,0.0,0.0033268917376427024
random,505,selected_blend,chemprop,0.04716218096297664,0.04877112135176631,0.0,0.0007331616508733027
random,505,selected_blend,forest,0.05410937232469604,-0.0024961597542243474,0.0,-0.0005732296622292
random,505,fusion_30,descriptor_mlp,0.018115954964767922,-0.001536098310291778,0.0,0.0003631341554071951
scaffold,101,fusion_30,compact,0.5223303320845276,0.09523809523809512,0.15000000000000002,-0.0155825048093144
scaffold,101,fusion_60,compact,0.5135237539961404,0.13671274961597535,0.10000000000000003,-0.009455129872578898
scaffold,101,selected_blend,compact,0.5690698381920059,0.1463133640552997,0.15000000000000002,-0.0227315657695933
scaffold,101,fusion_30,chemprop,-0.040371305330465734,-0.046082949308756005,0.0,-0.0029169153042697994
scaffold,101,fusion_60,chemprop,-0.049177883418852986,-0.004608294930875778,-0.04999999999999999,0.0032104596324657036
scaffold,101,selected_blend,chemprop,0.0063682007770125,0.004992319508448584,0.0,-0.0100659762645487
scaffold,101,selected_blend,forest,0.0,0.0,0.0,0.0
scaffold,101,fusion_30,descriptor_mlp,0.0304674132328544,-0.0003840245775732498,0.0,-0.0017248949030639026
scaffold,202,fusion_30,compact,0.5518370672604135,0.1966205837173579,0.30000000000000004,-0.0165144355842367
scaffold,202,fusion_60,compact,0.5073975396601371,0.2250384024577572,0.30000000000000004,-0.014628018512553
scaffold,202,selected_blend,compact,0.6415359727597512,0.24078341013824878,0.30000000000000004,-0.0197155939680654
scaffold,202,fusion_30,chemprop,-0.08639413068341706,-0.04109062980030709,-0.04999999999999999,0.008461193782670698
scaffold,202,fusion_60,chemprop,-0.13083365828369342,-0.012672811059907807,-0.04999999999999999,0.0103476108543544
scaffold,202,selected_blend,chemprop,0.003304774815920619,0.003072196620583778,-0.04999999999999999,0.005260035398842001
scaffold,202,selected_blend,forest,-0.024124919613454088,-0.02553763440860224,-0.09999999999999998,0.007309000624803101
scaffold,202,fusion_30,descriptor_mlp,0.08006460819072814,0.003072196620583778,0.0,0.0008417464051744955
