split,model,average_precision_mean,average_precision_std,roc_auc_mean,roc_auc_std,precision_at_20_mean,precision_at_20_std,brier_score_mean,brier_score_std
random,chemprop,0.7226736632665164,0.09211345064125792,0.8915514592933949,0.08864174056539095,0.45,0.03535533905932737,0.025350477580278103,0.0038333242806071
random,compact,0.31001594398333415,0.09675986969100848,0.7442396313364055,0.09917355717227667,0.32999999999999996,0.1036822067666386,0.04463619035900268,0.0023971743986521093
random,descriptor_mlp,0.5365040816815667,0.05426506443746818,0.8737327188940093,0.04588683950368043,0.33999999999999997,0.0651920240520265,0.034888015826735355,0.0025734586427905363
random,forest,0.7157540574997789,0.13611226245268754,0.9059139784946236,0.050313815071701753,0.42000000000000004,0.09082951062292478,0.02481327510917028,0.006500124217168382
random,fusion_30,0.5552918582369701,0.09479606634314529,0.8512288786482335,0.05604167382933998,0.36,0.07416198487095664,0.035864348916649656,0.0033068879444471456
random,fusion_60,0.6975879473322326,0.08975952535278683,0.9139016897081413,0.06906113761065297,0.45999999999999996,0.04183300132670377,0.028213702595753443,0.00551164383399804
random,prior,0.0524017467248908,0.0,0.5,0.0,0.0524017467248908,0.0,0.049656166552075,0.0
random,selected_blend,0.6989917703858441,0.08480940047605691,0.8963517665130569,0.04925562467152897,0.43,0.04472135954999578,0.02670916691008756,0.00495600820922096
scaffold,chemprop,0.7168688093450803,0.1290068060010483,0.9333333333333333,0.04320285031566932,0.42000000000000004,0.09746794344808965,0.027435593835062423,0.006663793219558824
scaffold,compact,0.23237257726599697,0.09614061435896762,0.7669738863287251,0.14260306841439538,0.22999999999999998,0.09746794344808964,0.04621596312861462,0.002554349156119382
scaffold,descriptor_mlp,0.5240365964493761,0.1580947445697387,0.8674347158218128,0.07768998489121975,0.39,0.09617692030835673,0.03637869041456636,0.0067356555981935
scaffold,forest,0.7456328009210994,0.08861873449068397,0.9322196620583718,0.03257538137234729,0.45,0.06123724356957945,0.02476090829694318,0.004680296087818787
scaffold,fusion_30,0.5797826608912454,0.1368732843200265,0.8699692780337942,0.09066176959645336,0.42000000000000004,0.10368220676663861,0.032838285629892064,0.004487571117450656
scaffold,fusion_60,0.6612411181800513,0.11458762173422211,0.9276881720430108,0.0507798270602129,0.42000000000000004,0.08366600265340755,0.03392884508814506,0.00438305375698573
scaffold,prior,0.0524017467248908,0.0,0.5,0.0,0.0524017467248908,0.0,0.049656166552075,0.0
scaffold,selected_blend,0.7313263747253828,0.1427299960587374,0.9231182795698925,0.049405325326648396,0.43,0.08366600265340755,0.028107988446481137,0.0070291037980225925
