split,seed,model,baseline,average_precision_delta,roc_auc_delta,precision_at_20_delta,brier_score_delta
random,101,kernel_r2,forest,0.03220045154007434,0.0071044546850999035,0.0,-0.0030304088898467137
random,101,kernel_r2,chemprop,0.11134917316982529,0.02880184331797231,0.10000000000000003,-0.009363918732746114
random,101,kernel_multiscale,forest,0.007825752165374955,0.006336405529953959,0.0,-0.001965025856623415
random,101,kernel_multiscale,chemprop,0.0869744737951259,0.028033794162826364,0.10000000000000003,-0.008298535699522816
random,101,kernel_fusion_forest,forest,-0.003196239187498784,0.005184331797235098,0.0,0.00011447545481456031
random,101,kernel_fusion_forest,chemprop,0.07595248244225217,0.026881720430107503,0.10000000000000003,-0.00621903438808484
random,101,kernel_chemprop_forest,forest,0.01181294431046187,0.005184331797234987,0.0,0.0001690486678931971
random,101,kernel_chemprop_forest,chemprop,0.09096166594021282,0.026881720430107392,0.10000000000000003,-0.0061644611750062035
random,101,chemprop_forest,forest,-0.008029249314626452,-0.0005760368663594306,0.0,0.0023557380179995667
random,101,chemprop_forest,chemprop,0.0711194723151245,0.021121351766512975,0.10000000000000003,-0.003977771824899834
random,101,kernel_multiscale,kernel_r2,-0.024374699374699382,-0.0007680491551459445,0.0,0.0010653830332232987
random,101,kernel_fusion_forest,selected_blend,0.18097375755344436,0.029185867895545337,0.050000000000000044,-0.009153240036422216
random,101,kernel_chemprop_forest,chemprop_forest,0.019842193625088322,0.005760368663594417,0.0,-0.0021866893501063696
random,202,kernel_r2,forest,0.03155882691546563,-0.007872503840245737,0.04999999999999999,-0.0010935516046703328
random,202,kernel_r2,chemprop,-0.020643266478960642,0.07066052227342556,-0.050000000000000044,0.0015033483768550626
random,202,kernel_multiscale,forest,0.020948303123744072,0.0009600614439323474,0.04999999999999999,-0.00047271763923188714
random,202,kernel_multiscale,chemprop,-0.0312537902706822,0.07949308755760365,-0.050000000000000044,0.0021241823422935083
random,202,kernel_fusion_forest,forest,0.08147077545318016,-0.00019201228878651388,0.10000000000000003,-0.0018060011523716932
random,202,kernel_fusion_forest,chemprop,0.02926868205875388,0.07834101382488479,0.0,0.0007908988291537022
random,202,kernel_chemprop_forest,forest,0.07553396055440531,-0.013632872503840265,0.10000000000000003,-0.003192206665732486
random,202,kernel_chemprop_forest,chemprop,0.023331867159979036,0.06490015360983103,0.0,-0.0005953066842070906
random,202,chemprop_forest,forest,0.08526970549316915,-0.022081413210445655,0.10000000000000003,-0.0034578077943609696
