split,model,average_precision_mean,average_precision_std,roc_auc_mean,roc_auc_std,precision_at_20_mean,precision_at_20_std,brier_score_mean,brier_score_std
random,chemprop,0.7226736632665164,0.09211345064125792,0.8915514592933949,0.08864174056539095,0.45,0.03535533905932737,0.025350477580278103,0.0038333242806071
random,chemprop_forest,0.7589811901960823,0.10766984502364756,0.9176651305683563,0.06707448510910012,0.4600000000000001,0.0651920240520265,0.02354308499946576,0.004627619103278442
random,compact,0.31001594398333415,0.09675986969100848,0.7442396313364055,0.09917355717227667,0.32999999999999996,0.1036822067666386,0.04463619035900268,0.0023971743986521093
random,descriptor_mlp,0.5365040816815667,0.05426506443746816,0.8737327188940093,0.045886839503680485,0.33999999999999997,0.0651920240520265,0.03488801582673541,0.0025734586427905355
random,forest,0.7157540574997789,0.13611226245268754,0.9059139784946236,0.050313815071701753,0.42000000000000004,0.09082951062292478,0.02481327510917028,0.006500124217168382
random,fusion_30,0.5552918582369701,0.09479606634314529,0.8512288786482335,0.056041673829340014,0.36,0.07416198487095664,0.03586434891664973,0.003306887944447132
random,fusion_60,0.6975879473322326,0.08975952535278683,0.9139016897081413,0.06906113761065301,0.45999999999999996,0.04183300132670377,0.0282137025957535,0.005511643833998022
random,kernel_chemprop_forest,0.7698030321739384,0.1168008604070762,0.9228878648233486,0.07105928356313108,0.4600000000000001,0.0651920240520265,0.022827097253014194,0.0054625441736954015
random,kernel_fusion_forest,0.7694887841393497,0.1071915314388323,0.9263440860215054,0.06592450499294261,0.47000000000000003,0.057008771254956896,0.02341718446407499,0.0058702952109783765
random,kernel_multiscale,0.7503405924516944,0.132801109697349,0.917741935483871,0.0724547628686896,0.48,0.07582875444051554,0.023407421759103528,0.007420256503950486
random,kernel_r2,0.7480791312170256,0.13654981783789144,0.909062980030722,0.07501878594648008,0.45999999999999996,0.08215838362577493,0.02380602530175816,0.0072475828557486775
random,prior,0.0524017467248908,0.0,0.5,0.0,0.0524017467248908,0.0,0.049656166552075,0.0
random,selected_blend,0.6989917703858441,0.08480940047605691,0.8963517665130569,0.04925562467152897,0.43,0.04472135954999578,0.026709166910087623,0.0049560082092209735
scaffold,chemprop,0.7168688093450803,0.1290068060010483,0.9333333333333333,0.04320285031566932,0.42000000000000004,0.09746794344808965,0.027435593835062423,0.006663793219558824
scaffold,chemprop_forest,0.750439829737469,0.10763129429232543,0.9408602150537634,0.025468966270309135,0.47000000000000003,0.04472135954999577,0.02356933083071754,0.006030640867134459
scaffold,compact,0.23237257726599697,0.09614061435896762,0.7669738863287251,0.14260306841439538,0.22999999999999998,0.09746794344808964,0.04621596312861462,0.002554349156119382
scaffold,descriptor_mlp,0.5240365964493761,0.1580947445697387,0.8674347158218125,0.07768998489121968,0.39,0.09617692030835673,0.03637869041456641,0.006735655598193497
scaffold,forest,0.7456328009210994,0.08861873449068397,0.9322196620583718,0.03257538137234729,0.45,0.06123724356957945,0.02476090829694318,0.004680296087818787
scaffold,fusion_30,0.5797826608912454,0.1368732843200265,0.8699692780337942,0.09066176959645336,0.42000000000000004,0.10368220676663861,0.03283828562989212,0.004487571117450636
scaffold,fusion_60,0.6612411181800513,0.11458762173422209,0.9276881720430108,0.0507798270602129,0.42000000000000004,0.08366600265340755,0.03392884508814511,0.00438305375698573
scaffold,kernel_chemprop_forest,0.7601357710751364,0.11194274038064046,0.943010752688172,0.029362942097339053,0.47000000000000003,0.04472135954999577,0.02329184721345898,0.006680557079090608
scaffold,kernel_fusion_forest,0.7584881455604355,0.11338416962955475,0.9418586789554532,0.03345931899405525,0.45,0.07071067811865474,0.025325099071960254,0.005969733482868324
scaffold,kernel_multiscale,0.736731982125753,0.19502218591694487,0.9245007680491553,0.06644934742142289,0.45,0.1322875655532295,0.026794599051371076,0.009725345435448786
scaffold,kernel_r2,0.7481286368391971,0.17239607648384994,0.9242703533026114,0.052435458890323625,0.45999999999999996,0.11401754250991379,0.02599767242506513,0.008857357443726552
scaffold,prior,0.0524017467248908,0.0,0.5,0.0,0.0524017467248908,0.0,0.049656166552075,0.0
scaffold,selected_blend,0.7313263747253828,0.1427299960587374,0.9231182795698925,0.04940532532664846,0.43,0.08366600265340755,0.028107988446481193,0.007029103798022598
