split,seed,model,n,positives,prevalence,average_precision,roc_auc,precision_at_20,brier_score,validation_ap,seconds
random,11,prior,229,12,0.05240174672489083,0.05240174672489083,0.5,0.05240174672489083,0.04965616655207507,0.05240174672489083,0.009098166017793119
random,11,logistic,229,12,0.05240174672489083,0.7403716683665805,0.9124423963133641,0.45,0.038559469828413226,0.8200913608808346,0.12183845799881965
random,11,forest,229,12,0.05240174672489083,0.6994730468488708,0.8951612903225806,0.4,0.035811274257289576,0.6959685453435454,2.197204666095786
random,11,dmpnn,229,12,0.05240174672489083,0.6686101147078439,0.9151305683563749,0.45,0.033708373759466545,0.4388611120332698,6.238738500047475
random,22,prior,229,12,0.05240174672489083,0.05240174672489083,0.5,0.05240174672489083,0.04965616655207507,0.05240174672489083,0.009552125004120171
random,22,logistic,229,12,0.05240174672489083,0.527937222514957,0.8598310291858678,0.5,0.03816965822504525,0.6213493055898676,0.2588469999609515
random,22,forest,229,12,0.05240174672489083,0.7395585061509985,0.9370199692780337,0.5,0.02583071324599709,0.5911728152799581,5.401974832988344
random,22,dmpnn,229,12,0.05240174672489083,0.5882410959061903,0.8744239631336406,0.45,0.03391875115448827,0.6266909969115851,7.865097083034925
random,33,prior,229,12,0.05240174672489083,0.05240174672489083,0.5,0.05240174672489083,0.04965616655207507,0.05240174672489083,0.007182582980021834
random,33,logistic,229,12,0.05240174672489083,0.795711652543463,0.9327956989247311,0.45,0.025734148484961916,0.7938566767068275,0.12421254196669906
random,33,forest,229,12,0.05240174672489083,0.8108434820770835,0.9423963133640553,0.5,0.03698019014021028,0.7877314814814816,2.022321666008793
random,33,dmpnn,229,12,0.05240174672489083,0.5135421925220318,0.9005376344086021,0.4,0.038017466415124435,0.48721406006069873,5.055071874987334
scaffold,11,prior,229,12,0.05240174672489083,0.05240174672489083,0.5,0.05240174672489083,0.04965616655207507,0.05240174672489083,0.004571667057462037
scaffold,11,logistic,229,12,0.05240174672489083,0.7842947330447332,0.9781105990783411,0.45,0.036458411339614326,0.5862895104922997,0.10648033302277327
scaffold,11,forest,229,12,0.05240174672489083,0.8122679570790777,0.977726574500768,0.5,0.03314002071992185,0.5346169985389958,2.0112377910409123
scaffold,11,dmpnn,229,12,0.05240174672489083,0.7643482984635596,0.8947772657450077,0.45,0.030460764122937516,0.3673742781235302,4.942313332925551
scaffold,22,prior,229,12,0.05240174672489083,0.05240174672489083,0.5,0.05240174672489083,0.04965616655207507,0.05240174672489083,0.003991332952864468
scaffold,22,logistic,229,12,0.05240174672489083,0.316817703450724,0.6785714285714286,0.15,0.052129087406939056,0.47303579166028875,0.10819087503477931
scaffold,22,forest,229,12,0.05240174672489083,0.350110679805419,0.6728110599078341,0.2,0.05342454160662309,0.47912116292018453,1.9101540830451995
scaffold,22,dmpnn,229,12,0.05240174672489083,0.10351822230097452,0.4220430107526882,0.1,0.04996082159852559,0.31356344497923705,2.4893702910048887
scaffold,33,prior,229,12,0.05240174672489083,0.05240174672489083,0.5,0.05240174672489083,0.04965616655207507,0.05240174672489083,0.0038496250053867698
scaffold,33,logistic,229,12,0.05240174672489083,0.779299866014637,0.9431643625192012,0.5,0.02190249912979698,0.7195382721361637,0.10619862494058907
scaffold,33,forest,229,12,0.05240174672489083,0.8046062125009494,0.9114823348694316,0.5,0.02072130033964095,0.7881847818448539,1.9803445419529453
scaffold,33,dmpnn,229,12,0.05240174672489083,0.04767171678002607,0.4508448540706605,0.0,0.050526622928902906,0.214235150720332,1.4846163330366835
