split,model,similarity_bin,prediction_count,unique_compounds,positives,mean_absolute_error,average_precision
random,dmpnn,"[0,0.3)",81,75,5,0.13883998366302727,0.19804075235109717
random,dmpnn,"[0.3,0.5)",205,192,6,0.06753127654196646,0.5223790646922488
random,dmpnn,"[0.5,0.7)",255,238,13,0.06909303818897831,0.9130711393869286
random,dmpnn,"[0.7,1]",146,135,12,0.10270757267246822,0.7378439217837952
random,forest,"[0,0.3)",81,75,5,0.17127052520155708,0.09626973026973028
random,forest,"[0.3,0.5)",205,192,6,0.12214760921057018,0.6765205328741241
random,forest,"[0.5,0.7)",255,238,13,0.10246564805476642,0.8384789838611495
random,forest,"[0.7,1]",146,135,12,0.10176378074992565,0.928503787878788
random,logistic,"[0,0.3)",81,75,5,0.14022538968944,0.2894188187291636
random,logistic,"[0.3,0.5)",205,192,6,0.08574704264432517,0.6540070988230898
random,logistic,"[0.5,0.7)",255,238,13,0.07265003827836451,0.545624752154164
random,logistic,"[0.7,1]",146,135,12,0.06428093567060712,0.9393790849673203
random,prior,"[0,0.3)",81,75,5,0.10713275980451549,0.06172839506172839
random,prior,"[0.3,0.5)",205,192,6,0.07803548155437925,0.02926829268292683
random,prior,"[0.5,0.7)",255,238,13,0.09749823593559556,0.050980392156862744
random,prior,"[0.7,1]",146,135,12,0.12547616557864386,0.0821917808219178
scaffold,dmpnn,"[0,0.3)",91,83,2,0.0830585738173225,0.020066889632107024
scaffold,dmpnn,"[0.3,0.5)",320,261,14,0.08213892303465395,0.3320986595694299
scaffold,dmpnn,"[0.5,0.7)",240,202,17,0.10644815031361453,0.4077183792681757
scaffold,dmpnn,"[0.7,1]",36,35,3,0.1304356507478385,0.1346153846153846
scaffold,forest,"[0,0.3)",91,83,2,0.12685511669925023,0.04518371400198609
scaffold,forest,"[0.3,0.5)",320,261,14,0.11584953792065185,0.6601457090368998
scaffold,forest,"[0.5,0.7)",240,202,17,0.1112099907363891,0.7886310209888696
scaffold,forest,"[0.7,1]",36,35,3,0.147811122189491,0.7166666666666667
scaffold,logistic,"[0,0.3)",91,83,2,0.08760742826998458,0.02857142857142857
scaffold,logistic,"[0.3,0.5)",320,261,14,0.07594610403818895,0.5124281469244083
scaffold,logistic,"[0.5,0.7)",240,202,17,0.07992617682548112,0.7896207168359067
scaffold,logistic,"[0.7,1]",36,35,3,0.11221099225670003,0.7333333333333334
scaffold,prior,"[0,0.3)",91,83,2,0.07150047335434462,0.02197802197802198
scaffold,prior,"[0.3,0.5)",320,261,14,0.0910169029443838,0.04375
scaffold,prior,"[0.5,0.7)",240,202,17,0.1152944383860414,0.07083333333333333
scaffold,prior,"[0.7,1]",36,35,3,0.12649945474372953,0.08333333333333333
