split,seed,model,average_precision_delta,roc_auc_delta,precision_at_20_delta,brier_score_delta
random,101,compact,-0.4584902369917664,-0.20238095238095233,-0.15000000000000002,0.0202650917029891
random,202,compact,-0.3364991396093874,-0.15053763440860224,-0.15000000000000002,0.015282634980277002
random,303,compact,-0.5518114712824732,-0.23963133640552992,-0.25,0.0215626418208879
random,404,compact,-0.2703929642329003,-0.029185867895545337,0.04999999999999999,0.0171279844512779
random,505,compact,-0.4460947842993841,-0.11482334869431665,-0.10000000000000003,0.022190210938191002
scaffold,101,compact,-0.5627016374149933,-0.14132104454685113,-0.15000000000000002,0.012665589505044601
scaffold,202,compact,-0.6382311979438305,-0.237711213517665,-0.35,0.0249756293669074
scaffold,303,compact,-0.4285785876599084,-0.0837173579109064,-0.10000000000000003,0.0223827814354814
scaffold,404,compact,-0.49258894531750286,-0.06528417818740395,-0.3,0.0220582866504342
scaffold,505,compact,-0.3003807920591819,-0.3037634408602149,-0.04999999999999999,0.011819559509893399
random,101,forest,0.07914872162975095,0.021697388632872405,0.10000000000000003,-0.006333509842899401
random,202,forest,-0.052202093394426274,0.0785330261136713,-0.10000000000000003,0.0025968999815253954
random,303,forest,-0.02133100320099557,-0.07219662058371745,-0.09999999999999998,-0.0014060571190488008
random,404,forest,-0.033266462506296834,-0.00748847926267282,-0.04999999999999999,0.0011502633117812001
random,505,forest,-0.006947191361719396,0.05126728110599066,0.0,0.0013063913131025028
scaffold,101,forest,0.0063682007770125,0.004992319508448584,0.0,-0.0100659762645487
scaffold,202,forest,0.027429694429374707,0.028609831029186017,0.04999999999999999,-0.0020489652259611003
scaffold,303,forest,-0.04947968788524859,-0.07450076804915529,0.0,0.00246077869206
scaffold,404,forest,0.061485019108858174,-0.008448540706605168,0.0,-0.0009633579446128998
scaffold,505,forest,0.09801673145009804,0.04377880184331795,0.09999999999999998,-0.0027559069475334985
random,101,prior,-0.7678730117292156,-0.46121351766513063,-0.3975982532751092,0.026915599940616697
random,202,prior,-0.5201705495056802,-0.26651305683563753,-0.34759825327510924,0.017664018498665897
random,303,prior,-0.7042209708353269,-0.47388632872503844,-0.4475982532751092,0.024762057031279497
random,404,prior,-0.6628360791746999,-0.4216589861751152,-0.3975982532751092,0.025301521566913
random,505,prior,-0.6962589714632053,-0.33448540706605234,-0.3975982532751092,0.0268852478215094
scaffold,101,prior,-0.7353729860920286,-0.46889400921658997,-0.3975982532751092,0.0167395527329412
scaffold,202,prior,-0.7047051007352175,-0.412442396313364,-0.3975982532751092,0.0258547122431445
scaffold,303,prior,-0.7573795771521779,-0.4642857142857144,-0.3975982532751092,0.029904770571646
scaffold,404,prior,-0.6858730503734357,-0.4539170506912442,-0.4475982532751092,0.024700616467724198
scaffold,505,prior,-0.4390045987480882,-0.36712749615975426,-0.19759825327510921,0.013903211569606999
